# y+ ()       
# Time        	patch         	min           	max           	average       
1             	earth	2.872322e+06	2.872323e+06	2.872323e+06
1             	cblTop	1.404338e-02	2.412888e-01	2.025353e-01
2             	earth	2.871796e+06	2.871796e+06	2.871796e+06
2             	cblTop	9.784128e-02	4.374914e-01	2.088743e-01
3             	earth	2.871270e+06	2.871270e+06	2.871270e+06
3             	cblTop	1.071784e-01	2.770707e-01	2.110037e-01
4             	earth	2.870744e+06	2.870745e+06	2.870745e+06
4             	cblTop	8.428515e-02	4.070299e-01	2.168731e-01
5             	earth	2.870219e+06	2.870219e+06	2.870219e+06
5             	cblTop	6.441274e-02	3.485240e-01	2.038634e-01     
6             	earth	2.869694e+06	2.869694e+06	2.869694e+06
6             	cblTop	5.051358e-03	2.827104e-01	1.765868e-01
7             	earth	2.869169e+06	2.869169e+06	2.869169e+06
7             	cblTop	1.827315e-02	3.740676e-01	2.039432e-01
8             	earth	2.868644e+06	2.868645e+06	2.868645e+06
8             	cblTop	7.596406e-02	4.200991e-01	2.086149e-01
