# y+ ()       
# Time        	patch         	min           	max           	average       
1             	earth	2.905517e+06	2.905518e+06	2.905518e+06
1             	cblTop	3.061589e-02	2.447584e-01	2.019957e-01
2             	earth	2.904984e+06	2.904985e+06	2.904985e+06
2             	cblTop	6.408558e-02	3.406609e-01	2.114324e-01
3             	earth	2.904453e+06	2.904453e+06	2.904453e+06
3             	cblTop	5.413529e-02	3.676607e-01	1.391459e-01
4             	earth	2.903920e+06	2.903921e+06	2.903921e+06
4             	cblTop	9.917221e-02	2.873390e-01	1.949186e-01
5             	earth	2.903389e+06	2.903390e+06	2.903389e+06
5             	cblTop	1.328622e-02	3.671103e-01	1.439740e-01
6             	earth	2.902857e+06	2.902858e+06	2.902858e+06
6             	cblTop	8.108268e-02	3.225420e-01	1.981924e-01
7             	earth	2.902326e+06	2.902327e+06	2.902327e+06
7             	cblTop	2.534549e-03	4.218539e-01	2.058681e-01
8             	earth	2.901796e+06	2.901797e+06	2.901797e+06
8             	cblTop	3.269715e-02	5.211352e-01	1.418443e-01
