# y+ ()       
# Time        	patch         	min           	max           	average       
1             	earth	2.905517e+06	2.905518e+06	2.905518e+06
1             	cblTop	7.240463e-03	4.304552e-01	2.196693e-01
2             	earth	2.904985e+06	2.904985e+06	2.904985e+06
2             	cblTop	2.374153e-02	2.976304e-01	1.851439e-01
3             	earth	2.904452e+06	2.904453e+06	2.904453e+06
3             	cblTop	1.852905e-02	2.734520e-01	1.950432e-01
4             	earth	2.903921e+06	2.903921e+06	2.903921e+06
4             	cblTop	1.869920e-02	2.793296e-01	1.079138e-01
5             	earth	2.903389e+06	2.903390e+06	2.903389e+06
5             	cblTop	3.619135e-02	2.299067e-01	1.793269e-01
6             	earth	2.902858e+06	2.902858e+06	2.902858e+06
6             	cblTop	9.113902e-03	3.201841e-01	8.648806e-02
7             	earth	2.902327e+06	2.902327e+06	2.902327e+06
7             	cblTop	5.894702e-02	3.022359e-01	1.799653e-01
8             	earth	2.901796e+06	2.901797e+06	2.901797e+06
8             	cblTop	3.938164e-02	3.574177e-01	1.733857e-01
