time,Sensible-Heat-flux
0,34.72838061
300,38.85936253
600,41.36058781
900,43.91749324
1200,46.62630356
1500,50.2717049
1800,54.53671739
2100,56.18856612
2400,57.85179656
2700,60.13864279
3000,62.56479085
3300,64.9884501
3600,67.23206372
3900,69.34146394
4200,71.60872718
4500,73.76614022
4800,75.80367909
5100,77.72891893
5400,79.50705362
5700,81.3480674
6000,83.19851852
6300,84.94297784
6600,86.56781108
6900,88.21425958
7200,89.7303719
7500,91.17182374
7800,92.46764283
8100,93.61784997
8400,95.06026049
8700,96.18081357
9000,97.43206209
9300,98.42688937
9600,99.50694724
9900,100.4705203
10200,101.2514274
10500,102.1541458
10800,103.0826856
11100,103.7254259
11400,104.2158284
11700,104.6864947
12000,105.2659441
12300,105.4688705
12600,105.3123626
12900,105.359744
13200,105.3363565
13500,105.4411674
13800,104.7858151
14100,104.2944653
14400,103.94524
14700,103.6999371
15000,103.4353671
15300,102.974749
15600,102.1476184
15900,101.5385596
16200,100.9106681
16500,100.4300227
16800,99.63115714
17100,98.67452747
17400,97.82149109
17700,97.38032528
18000,96.4250844
18300,95.29787503
18600,94.67032047
18900,93.7236032
19200,92.47560672
19500,91.327933
19800,90.03801296
20100,88.79845861
20400,87.30155666
20700,85.99845239
21000,84.71864196
21300,83.09520104
21600,81.43218805
21900,79.75005288
22200,78.05434746
22500,76.35665547
22800,74.45676237
23100,73.00432143
23400,71.37034881
23700,69.38548843
24000,67.5059123
24300,65.70634706
24600,63.93976688
24900,61.98224219
25200,60.24932227
25500,58.38528578
25800,56.44882168
26100,54.61008519
26400,52.75099501
26700,50.79330044
27000,48.68640751
27300,46.57573987
27600,44.47852961
27900,42.4501836
28200,40.12865237
28500,37.6841192
28800,35.36495577
29100,33.37180997
29400,31.08799689
29700,28.57325293
30000,26.17340083
30300,24.08833076
30600,21.7868962
30900,19.40854441
31200,17.25401052
31500,15.04400066
31800,13.14535705
32100,11.1674932
32400,9.331026495
32700,7.201593595
33000,5.021837223
33300,2.877040133
33600,1.031061384
33900,-0.7455381828
34200,-2.882813476
34500,-5.279622155
34800,-6.963639433
35100,-8.203258422
35400,-9.433938381
35700,-10.78108508
36000,-11.75483728
36300,-12.51196813
36600,-13.25741525
36900,-14.07610347
37200,-14.6898339
37500,-15.29622898
37800,-15.91831799
38100,-16.26045793
38400,-16.41078029
38700,-16.42253684
39000,-16.65851547
39300,-16.86060098
39600,-17.11653081
39900,-17.38298712
40200,-17.68123787
40500,-17.99901393
40800,-18.44256515
41100,-18.85582478
41400,-19.17863459
41700,-19.41405858
42000,-19.72012132
42300,-20.21049989
42600,-20.6156824
42900,-20.89316859
43200,-21.1983937
