# y+ ()       
# Time        	patch         	min           	max           	average       
1             	earth	2.905517e+06	2.905518e+06	2.905518e+06
1             	cblTop	2.882309e-02	2.437293e-01	2.042168e-01
2             	earth	2.904985e+06	2.904985e+06	2.904985e+06
2             	cblTop	6.898116e-02	4.677189e-01	2.119144e-01
3             	earth	2.904452e+06	2.904453e+06	2.904453e+06
3             	cblTop	7.744328e-02	2.493328e-01	2.114266e-01
4             	earth	2.903920e+06	2.903921e+06	2.903921e+06
4             	cblTop	2.870755e-02	4.382574e-01	2.179610e-01
5             	earth	2.903389e+06	2.903390e+06	2.903389e+06
5             	cblTop	2.894388e-02	4.247410e-01	2.088181e-01
6             	earth	2.902858e+06	2.902858e+06	2.902858e+06
6             	cblTop	3.901786e-02	3.350997e-01	2.108056e-01
7             	earth	2.902327e+06	2.902328e+06	2.902327e+06
7             	cblTop	1.009496e-02	5.487382e-01	1.349863e-01
8             	earth	2.901796e+06	2.901797e+06	2.901797e+06
8             	cblTop	6.089365e-02	3.953354e-01	2.082982e-01
